"cd102","103rd Congressional District","county","cntyname","fplace80","plac80nm","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","1990 POP","cd103 to county allocation factor","county to cd103 allocation factor"
"04","06","04009","Graham AZ"," "," ",110.291583,33.24202,3678,0.00327,0.13851 
"05","05","04009","Graham AZ"," "," ",109.746689,32.819022,22876,0.002049,0.86149 
"05","06","04011","Greenlee AZ"," "," ",109.253611,32.974168,8008,0.013445,1 
"03","03","04012","La Paz AZ"," "," ",114.227071,33.955573,13844,0.000977,1 
"01","01","04013","Maricopa AZ"," "," ",111.90467,33.404983,590662,0.029543,0.278338 
"01","02","04013","Maricopa AZ"," "," ",112.018632,33.425299,36712,0.037089,0.0173 
"01","04","04013","Maricopa AZ"," "," ",112.052916,33.501938,3002,0.458601,0.001415 
"01","06","04013","Maricopa AZ"," "," ",111.74182,33.385176,198481,0.338945,0.09353 
"02","01","04013","Maricopa AZ"," "," ",112.065767,33.466815,9935,0.006633,0.004682 
"02","02","04013","Maricopa AZ"," "," ",112.132903,33.432628,202109,0.010457,0.09524 
"02","03","04013","Maricopa AZ"," "," ",112.2111,33.468543,8963,0.010406,0.004224 
"02","04","04013","Maricopa AZ"," "," ",112.106908,33.495943,41593,0.383526,0.0196 
"02","06","04013","Maricopa AZ"," "," ",112.182287,33.319541,2777,0.004999,0.001309 
"03","02","04013","Maricopa AZ"," "," ",112.266385,33.475302,37531,0.018528,0.017686 
"03","03","04013","Maricopa AZ"," "," ",112.27919,33.574335,312220,0.022043,0.147128 
"03","04","04013","Maricopa AZ"," "," ",112.154067,33.568673,109007,0.144379,0.051367 
"04","01","04013","Maricopa AZ"," "," ",111.965194,33.501211,10275,0.018111,0.004842 
"04","03","04013","Maricopa AZ"," "," ",112.146554,33.672143,39424,0.01912,0.018578 
"04","04","04013","Maricopa AZ"," "," ",112.03871,33.585812,457269,0.035459,0.215479 
"04","06","04013","Maricopa AZ"," "," ",111.86724,33.642435,62141,0.055246,0.029283 
"03","03","04015","Mohave AZ"," "," ",114.262572,35.035219,93497,0.006601,1 
"04","03","04017","Navajo AZ"," "," ",110.471864,35.853318,6276,0.003044,0.080816 
"04","06","04017","Navajo AZ"," "," ",110.235004,34.993144,71382,0.063462,0.919184 
"02","02","04019","Pima AZ"," "," ",111.056523,32.175138,190121,0.009837,0.28509 
"02","05","04019","Pima AZ"," "," ",111.010766,32.255519,37778,0.20077,0.056649 
"05","02","04019","Pima AZ"," "," ",111.065163,32.032775,7091,0.022783,0.010633 
"05","05","04019","Pima AZ"," "," ",110.910003,32.242922,431890,0.038677,0.647627 
"02","02","04021","Pinal AZ"," "," ",111.862754,32.679671,736,0.000038,0.006324 
"02","06","04021","Pinal AZ"," "," ",111.902831,33.041894,12353,0.022235,0.106145 
"05","05","04021","Pinal AZ"," "," ",111.53534,32.811116,20703,0.001854,0.177893 
"05","06","04021","Pinal AZ"," "," ",111.424706,33.076223,82587,0.13866,0.709638 
"02","02","04023","Santa Cruz AZ"," "," ",110.937736,31.358477,20945,0.001084,0.705789 
"05","02","04023","Santa Cruz AZ"," "," ",110.912122,31.528763,8731,0.028052,0.294211 
"03","03","04025","Yavapai AZ"," "," ",112.269181,34.618602,107714,0.007605,1 
"02","02","04027","Yuma AZ"," "," ",114.619387,32.671073,98998,0.005122,0.926124 
"03","02","04027","Yuma AZ"," "," ",114.226477,32.76605,7897,0.003899,0.073876 
"01","01","05001","Arkansas AR"," "," ",91.461938,34.403923,21653,0.001083,1 
"04","04","05003","Ashley AR"," "," ",91.859692,33.172715,24319,0.001886,1 
"03","03","05005","Baxter AR"," "," ",92.382219,36.329863,31186,0.002202,1 
"03","03","05007","Benton AR"," "," ",94.238918,36.333505,97499,0.006883,1 
"03","03","05009","Boone AR"," "," ",93.096037,36.259911,28297,0.001998,1 
"04","04","05011","Bradley AR"," "," ",92.100461,33.570472,11793,0.000915,1 
"04","04","05013","Calhoun AR"," "," ",92.490935,33.58765,5826,0.000452,1 
"03","03","05015","Carroll AR"," "," ",93.559997,36.368052,18654,0.001317,1 
"04","04","05017","Chicot AR"," "," ",91.329685,33.33136,15713,0.001218,1 
"04","04","05019","Clark AR"," "," ",93.119684,34.082177,21437,0.001662,1 
"01","01","05021","Clay AR"," "," ",90.384812,36.369645,18107,0.000906,1 
"01","01","05023","Cleburne AR"," "," ",92.036005,35.51407,19411,0.000971,1 
"04","04","05025","Cleveland AR"," "," ",92.152904,33.908167,7781,0.000603,1 
"04","04","05027","Columbia AR"," "," ",93.245513,33.260525,25691,0.001992,1 
"02","02","05029","Conway AR"," "," ",92.709308,35.207583,19151,0.000991,1 
"01","01","05031","Craighead AR"," "," ",90.66007,35.835168,68956,0.003449,1 
"03","03","05033","Crawford AR"," "," ",94.27888,35.493912,42493,0.003,1 
"01","01","05035","Crittenden AR"," "," ",90.228158,35.178351,49939,0.002498,1 
"01","01","05037","Cross AR"," "," ",90.76754,35.258969,19225,0.000962,1 
"04","04","05039","Dallas AR"," "," ",92.530718,33.870689,9614,0.000746,1 
"04","04","05041","Desha AR"," "," ",91.412536,33.773491,16798,0.001303,1 
"04","04","05043","Drew AR"," "," ",91.774697,33.628072,17369,0.001347,1 
"02","02","05045","Faulkner AR"," "," ",92.400417,35.104064,60006,0.003105,1 
"03","03","05047","Franklin AR"," "," ",93.885329,35.44661,14897,0.001052,1 
"01","01","05049","Fulton AR"," "," ",91.761378,36.385121,10037,0.000502,1 
"04","04","05051","Garland AR"," "," ",93.077946,34.507381,73397,0.005692,1 
"04","04","05053","Grant AR"," "," ",92.417011,34.307224,13948,0.001082,1 
"01","01","05055","Greene AR"," "," ",90.520849,36.078081,31804,0.001591,1 
"04","04","05057","Hempstead AR"," "," ",93.625115,33.698046,21621,0.001677,1 
"04","04","05059","Hot Spring AR"," "," ",92.876481,34.3525,26115,0.002025,1 
"03","04","05061","Howard AR"," "," ",93.912511,33.980017,13569,0.017972,1 
"01","01","05063","Independence AR"," "," ",91.609389,35.747826,31192,0.00156,1 
"01","01","05065","Izard AR"," "," ",91.899844,36.123109,11364,0.000568,1 
"01","01","05067","Jackson AR"," "," ",91.243915,35.620242,18944,0.000948,1 
"04","04","05069","Jefferson AR"," "," ",92.029921,34.231089,85487,0.006629,1 
"03","03","05071","Johnson AR"," "," ",93.475816,35.477548,18221,0.001286,1 
"04","04","05073","Lafayette AR"," "," ",93.552795,33.29593,9643,0.000748,1 
"01","01","05075","Lawrence AR"," "," ",91.056942,36.065827,17457,0.000873,1 
"01","01","05077","Lee AR"," "," ",90.806588,34.774315,13053,0.000653,1 
"04","04","05079","Lincoln AR"," "," ",91.732004,33.986731,13690,0.001062,1 
"04","04","05081","Little River AR"," "," ",94.196492,33.697316,13966,0.001083,1 
"03","03","05083","Logan AR"," "," ",93.767797,35.229641,20557,0.001451,1 
"02","01","05085","Lonoke AR"," "," ",91.951862,34.848796,39268,0.026218,1 
"03","03","05087","Madison AR"," "," ",93.74843,36.051861,11618,0.00082,1 
"03","03","05089","Marion AR"," "," ",92.667017,36.281358,12001,0.000847,1 
"04","04","05091","Miller AR"," "," ",93.987406,33.398802,38467,0.002983,1 
"01","01","05093","Mississippi AR"," "," ",89.989899,35.844273,57525,0.002877,1 
"01","01","05095","Monroe AR"," "," ",91.213806,34.772868,11333,0.000567,1 
"03","04","05097","Montgomery AR"," "," ",93.620308,34.522762,7841,0.010385,1 
"04","04","05099","Nevada AR"," "," ",93.34989,33.71594,10101,0.000783,1 
"03","03","05101","Newton AR"," "," ",93.177769,35.971876,7666,0.000541,1 
"04","04","05103","Ouachita AR"," "," ",92.843377,33.570982,30574,0.002371,1 
"02","02","05105","Perry AR"," "," ",92.802208,34.997786,7969,0.000412,1 
"01","01","05107","Phillips AR"," "," ",90.70691,34.520704,28838,0.001442,1 
"04","04","05109","Pike AR"," "," ",93.62902,34.16942,10086,0.000782,1 
"01","01","05111","Poinsett AR"," "," ",90.55574,35.595737,24664,0.001234,1 
"03","03","05113","Polk AR"," "," ",94.261739,34.518881,17347,0.001225,1 
"03","03","05115","Pope AR"," "," ",93.095101,35.3112,45883,0.003239,1 
"01","01","05117","Prairie AR"," "," ",91.531655,34.852335,9518,0.000476,1 
"02","02","05119","Pulaski AR"," "," ",92.296297,34.769127,349660,0.018092,1 
"01","01","05121","Randolph AR"," "," ",90.979643,36.303523,16558,0.000828,1 
"01","01","05123","St. Francis AR"," "," ",90.760484,35.014928,28497,0.001425,1 
"02","02","05125","Saline AR"," "," ",92.537872,34.589337,64183,0.003321,1 
"03","03","05127","Scott AR"," "," ",94.089469,34.905148,10205,0.00072,1 
"03","01","05129","Searcy AR"," "," ",92.657774,35.918441,7841,0.017537,1 
"03","03","05131","Sebastian AR"," "," ",94.36255,35.327232,99590,0.007031,1 
"03","04","05133","Sevier AR"," "," ",94.293315,34.009875,13637,0.018062,1 
"01","01","05135","Sharp AR"," "," ",91.517513,36.181964,14109,0.000706,1 
"01","01","05137","Stone AR"," "," ",92.145772,35.857782,9775,0.000489,1 
"04","04","05139","Union AR"," "," ",92.64212,33.207379,46719,0.003623,1 
"01","02","05141","Van Buren AR"," "," ",92.422174,35.573032,14008,0.014152,1 
"03","03","05143","Washington AR"," "," ",94.174693,36.084439,113409,0.008007,1 
"02","02","05145","White AR"," "," ",91.74422,35.25132,54676,0.002829,1 
"01","01","05147","Woodruff AR"," "," ",91.25607,35.216425,9520,0.000476,1 
"02","02","05149","Yell AR"," "," ",93.295457,35.111332,17759,0.000919,1 
"08","09","06001","Alameda CA"," "," ",122.244643,37.824734,415910,0.562967,0.325137 
"08","13","06001","Alameda CA"," "," ",122.182639,37.731517,7786,0.186688,0.006087 
"09","09","06001","Alameda CA"," "," ",122.222318,37.767868,157548,0.023121,0.123163 
"09","10","06001","Alameda CA"," "," ",121.91383,37.69069,195603,0.401872,0.152912 
"09","13","06001","Alameda CA"," "," ",122.099401,37.664808,261742,0.992044,0.204617 
"10","13","06001","Alameda CA"," "," ",121.999045,37.548692,240593,0.387757,0.188083 
"14","04","06003","Alpine CA"," "," ",119.863919,38.706989,1113,0.003373,1 
"14","04","06005","Amador CA"," "," ",120.766425,38.399918,30039,0.091043,1 
"02","02","06007","Butte CA"," "," ",121.700216,39.680952,172621,0.008932,0.947842 
"02","03","06007","Butte CA"," "," ",121.689777,39.358855,9499,0.011028,0.052158 
"18","04","06009","Calaveras CA"," "," ",120.59439,38.188002,31998,0.295192,1 
"02","03","06011","Colusa CA"," "," ",122.07836,39.167906,16275,0.018895,1 
"07","07","06013","Contra Costa CA"," "," ",122.149229,37.978177,403380,0.05022,0.501884 
"07","10","06013","Contra Costa CA"," "," ",121.919617,37.929993,262523,0.417874,0.32663 
"08","07","06013","Contra Costa CA"," "," ",122.296402,37.912773,23947,0.052896,0.029795 
"08","10","06013","Contra Costa CA"," "," ",122.0588,37.833918,113882,0.138604,0.141691 
"01","01","06015","Del Norte CA"," "," ",124.161366,41.786089,23460,0.001173,1 
"14","04","06017","El Dorado CA"," "," ",120.651225,38.765891,125995,0.381869,1 
"15","18","06019","Fresno CA"," "," ",120.4974,36.875837,7473,0.012512,0.011196 
"15","19","06019","Fresno CA"," "," ",119.891645,36.769794,19057,0.200824,0.02855 
"15","20","06019","Fresno CA"," "," ",119.884201,36.543465,114188,0.629121,0.171071 
"17","19","06019","Fresno CA"," "," ",119.701981,36.826372,174426,0.767852,0.261316 
"17","20","06019","Fresno CA"," "," ",119.407372,36.605335,22149,0.083053,0.033183 
"18","19","06019","Fresno CA"," "," ",119.774984,36.776758,226084,0.679371,0.338708 
"18","20","06019","Fresno CA"," "," ",119.728935,36.723535,104113,0.474864,0.155977 
"02","03","06021","Glenn CA"," "," ",122.171255,39.652087,24798,0.02879,1 
"01","01","06023","Humboldt CA"," "," ",124.08538,40.753551,119118,0.005958,1 
"45","52","06025","Imperial CA"," "," ",115.511787,32.845529,109303,0.210351,1 
"20","40","06027","Inyo CA"," "," ",118.261744,37.148702,18281,1,1 
"17","20","06029","Kern CA"," "," ",119.186847,35.61389,63763,0.239096,0.117324 
"17","21","06029","Kern CA"," "," ",118.926305,35.379843,20670,0.060463,0.038033 
"19","21","06029","Kern CA"," "," ",118.912544,34.813349,38,0.000212,0.00007 
"20","20","06029","Kern CA"," "," ",119.042693,35.354255,88297,0.11893,0.162467 
"20","21","06029","Kern CA"," "," ",118.771711,35.329363,370709,0.97864,0.682106 
"17","20","06031","Kings CA"," "," ",119.73671,36.247983,101469,0.380484,1 
"01","01","06033","Lake CA"," "," ",122.761396,38.995446,46917,0.002347,0.926645 
"02","01","06033","Lake CA"," "," ",122.558215,38.832869,3714,0.00248,0.073354 
"14","02","06035","Lassen CA"," "," ",120.610213,40.401603,27598,0.218971,1 
"20","25","06037","Los Angeles CA"," "," ",118.22631,34.643953,138883,1,0.01567 
"21","24","06037","Los Angeles CA"," "," ",118.694748,34.177783,81113,0.421311,0.009152 
"21","25","06037","Los Angeles CA"," "," ",118.557799,34.322325,147821,1,0.016678 
"21","26","06037","Los Angeles CA"," "," ",118.416992,34.296767,20259,0.241138,0.002286 
"21","27","06037","Los Angeles CA"," "," ",118.305257,34.256781,49228,1,0.005554 
"21","36","06037","Los Angeles CA"," "," ",118.343706,33.331963,3445,1,0.000389 
"22","25","06037","Los Angeles CA"," "," ",118.372397,34.470114,113536,0.4187,0.01281 
"22","27","06037","Los Angeles CA"," "," ",118.223378,34.164498,369152,1,0.04165 
"22","28","06037","Los Angeles CA"," "," ",118.039261,34.13201,154760,1,0.017461 
"22","31","06037","Los Angeles CA"," "," ",118.078277,34.108019,558,1,0.000063 
"23","24","06037","Los Angeles CA"," "," ",118.570509,34.178895,313464,1,0.035367 
